ImagePath,ManualPumpCount
/mnt/external.data/TowbinLab/kstojanovski/20220401_Ti2_20x_160-182-190_pumping_25C_20220401_173300_429/analysis/str_pharynx_videos/Time00003_Point0021_Channel470 nm_Seq0232.tiff,30.0
/mnt/external.data/TowbinLab/kstojanovski/20220401_Ti2_20x_160-182-190_pumping_25C_20220401_173300_429/analysis/str_pharynx_videos/Time00006_Point0024_Channel470 nm_Seq0442.tiff,-1.0
/mnt/external.data/TowbinLab/kstojanovski/20220401_Ti2_20x_160-182-190_pumping_25C_20220401_173300_429/analysis/str_pharynx_videos/Time00020_Point0002_Channel470 nm_Seq1380.tiff,38.0
/mnt/external.data/TowbinLab/kstojanovski/20220401_Ti2_20x_160-182-190_pumping_25C_20220401_173300_429/analysis/str_pharynx_videos/Time00024_Point0018_Channel470 nm_Seq1674.tiff,27.0
/mnt/external.data/TowbinLab/kstojanovski/20220401_Ti2_20x_160-182-190_pumping_25C_20220401_173300_429/analysis/str_pharynx_videos/Time00026_Point0038_Channel470 nm_Seq1835.tiff,-1.0
/mnt/external.data/TowbinLab/kstojanovski/20220401_Ti2_20x_160-182-190_pumping_25C_20220401_173300_429/analysis/str_pharynx_videos/Time00026_Point0056_Channel470 nm_Seq1856.tiff,13.0
/mnt/external.data/TowbinLab/kstojanovski/20220401_Ti2_20x_160-182-190_pumping_25C_20220401_173300_429/analysis/str_pharynx_videos/Time00029_Point0029_Channel470 nm_Seq2031.tiff,-1.0
/mnt/external.data/TowbinLab/kstojanovski/20220401_Ti2_20x_160-182-190_pumping_25C_20220401_173300_429/analysis/str_pharynx_videos/Time00030_Point0006_Channel470 nm_Seq2073.tiff,36.0
/mnt/external.data/TowbinLab/kstojanovski/20220401_Ti2_20x_160-182-190_pumping_25C_20220401_173300_429/analysis/str_pharynx_videos/Time00030_Point0054_Channel470 nm_Seq2129.tiff,-1.0
/mnt/external.data/TowbinLab/kstojanovski/20220401_Ti2_20x_160-182-190_pumping_25C_20220401_173300_429/analysis/str_pharynx_videos/Time00031_Point0025_Channel470 nm_Seq2164.tiff,35.0
/mnt/external.data/TowbinLab/kstojanovski/20220401_Ti2_20x_160-182-190_pumping_25C_20220401_173300_429/analysis/str_pharynx_videos/Time00031_Point0031_Channel470 nm_Seq2171.tiff,17.0
/mnt/external.data/TowbinLab/kstojanovski/20220401_Ti2_20x_160-182-190_pumping_25C_20220401_173300_429/analysis/str_pharynx_videos/Time00031_Point0049_Channel470 nm_Seq2192.tiff,-1.0
/mnt/external.data/TowbinLab/kstojanovski/20220401_Ti2_20x_160-182-190_pumping_25C_20220401_173300_429/analysis/str_pharynx_videos/Time00034_Point0016_Channel470 nm_Seq2360.tiff,37.0
/mnt/external.data/TowbinLab/kstojanovski/20220401_Ti2_20x_160-182-190_pumping_25C_20220401_173300_429/analysis/str_pharynx_videos/Time00040_Point0034_Channel470 nm_Seq2794.tiff,-1.0
/mnt/external.data/TowbinLab/kstojanovski/20220401_Ti2_20x_160-182-190_pumping_25C_20220401_173300_429/analysis/str_pharynx_videos/Time00041_Point0011_Channel470 nm_Seq2836.tiff,38.0
/mnt/external.data/TowbinLab/kstojanovski/20220401_Ti2_20x_160-182-190_pumping_25C_20220401_173300_429/analysis/str_pharynx_videos/Time00041_Point0047_Channel470 nm_Seq2878.tiff,18.0
/mnt/external.data/TowbinLab/kstojanovski/20220401_Ti2_20x_160-182-190_pumping_25C_20220401_173300_429/analysis/str_pharynx_videos/Time00042_Point0012_Channel470 nm_Seq2906.tiff,25.0
/mnt/external.data/TowbinLab/kstojanovski/20220401_Ti2_20x_160-182-190_pumping_25C_20220401_173300_429/analysis/str_pharynx_videos/Time00042_Point0018_Channel470 nm_Seq2913.tiff,23.0
/mnt/external.data/TowbinLab/kstojanovski/20220401_Ti2_20x_160-182-190_pumping_25C_20220401_173300_429/analysis/str_pharynx_videos/Time00043_Point0037_Channel470 nm_Seq3004.tiff,19.0
/mnt/external.data/TowbinLab/kstojanovski/20220401_Ti2_20x_160-182-190_pumping_25C_20220401_173300_429/analysis/str_pharynx_videos/Time00045_Point0009_Channel470 nm_Seq3109.tiff,42.0
/mnt/external.data/TowbinLab/kstojanovski/20220401_Ti2_20x_160-182-190_pumping_25C_20220401_173300_429/analysis/str_pharynx_videos/Time00046_Point0034_Channel470 nm_Seq3207.tiff,-1.0
/mnt/external.data/TowbinLab/kstojanovski/20220401_Ti2_20x_160-182-190_pumping_25C_20220401_173300_429/analysis/str_pharynx_videos/Time00046_Point0052_Channel470 nm_Seq3228.tiff,-1.0
/mnt/external.data/TowbinLab/kstojanovski/20220401_Ti2_20x_160-182-190_pumping_25C_20220401_173300_429/analysis/str_pharynx_videos/Time00049_Point0025_Channel470 nm_Seq3403.tiff,-1.0
